Water,LIQUID,0.0,99.98,NaN,NaN,18.01528,H2O
Benzene,LIQUID,5.53,80.1,NaN,NaN,78.11,C6H6
Acetone,LIQUID,94.7,56.05,NaN,NaN,58.08,C3H6O
Ethanol,LIQUID,114.14,78.24,NaN,NaN,46.07,C2H6O
Sodium chloride,SOLID,801.0,1413.0,NaN,NaN,58.44,NaCl
Methanol,LIQUID,97.6,64.7,NaN,NaN,32.04,CH3OH
1-Propanol,LIQUID,126.0,97.0,NaN,NaN,2.0,C3H8O
Copper(II) oxide,SOLID,1326.0,2000.0,NaN,NaN,79.545,CuO
Iron(II) oxide,SOLID,1377.0,3414.0,NaN,NaN,71.844,FeO
Potassium chloride,SOLID,770.0,1420.0,NaN,NaN,74.5513,KCl
Hydrogen,GAS,13.99,20.271,0.904,0.117,1.008,H
Helium,GAS,0.95,4.222,0.0829,0.0138,4.002602,He
Lithium,SOLID,453.65,1603.0,136.0,3.0,6.94,Li
Beryllium,SOLID,1560.0,2742.0,292.0,12.2,9.0121831,Be
Carbon,SOLID,NaN,NaN,NaN,117.0,12.011,C
Boron,SOLID,2349.0,4200.0,508.0,50.2,10.81,B
Nitrogen,GAS,63.15,77.355,5.56,0.72,14.007,N
Oxygen,GAS,54.36,90.188,6.82,0.444,15.999,O
Fluorine,GAS,53.48,85.03,6.51,NaN,18.998403163,F
Neon,GAS,24.56,27.104,1.71,0.335,20.1797,Ne
Sodium,SOLID,370.944,1156.09,97.42,2.6,22.98976928,Na
Magnesium,SOLID,923.0,1363.0,128.0,8.48,24.305,Mg
Aluminium,SOLID,933.47,2743.0,284.0,10.71,26.9815385,Al
Silicon,SOLID,1687.0,3538.0,383.0,50.21,28.085,Si
Phosphorus,SOLID,NaN,NaN,51.9,0.66,30.973761998,P
Sulfur,SOLID,388.36,717.8,45.0,1.727,32.06,S
Chlorine,GAS,171.6,239.11,20.41,6.406,35.45,Cl
Argon,GAS,83.81,87.302,6.53,1.18,39.948,Ar
Potassium,SOLID,336.7,1032.0,76.9,2.33,39.0983,K
Calcium,SOLID,1115.0,1757.0,154.7,8.54,40.078,Ca
Scandium,SOLID,1814.0,3109.0,332.7,14.1,44.955908,Sc
Titanium,SOLID,1941.0,3560.0,425.0,14.15,47.867,Ti
Vanadium,SOLID,2183.0,3680.0,444.0,21.5,50.9415,V
Chromium,SOLID,2180.0,2944.0,347.0,21.0,51.9961,Cr
Manganese,SOLID,1519.0,2334.0,221.0,12.91,54.938044,Mn
Iron,SOLID,1811.0,3134.0,340.0,13.81,55.845,Fe
Cobalt,SOLID,1768.0,3200.0,377.0,16.06,58.933194,Co
Nickel,SOLID,1728.0,3003.0,379.0,17.48,58.6934,Ni
Copper,SOLID,1357.77,2835.0,300.4,13.26,63.546,Cu
Zinc,SOLID,692.68,1180.0,115.0,7.32,65.38,Zn
Gallium,SOLID,302.9146,2673.0,256.0,5.59,69.723,Ga
Germanium,SOLID,1211.4,3106.0,334.0,36.94,72.63,Ge
Arsenic,SOLID,NaN,NaN,34.76,24.44,74.921595,As
Selenium,SOLID,494.0,958.0,95.48,6.69,78.971,Se
Bromine,LIQUID,265.8,332.0,29.96,10.571,79.904,Br
Krypton,GAS,115.78,119.93,9.08,1.64,83.798,Kr
Rubidium,SOLID,312.45,961.0,69.0,2.19,85.4678,Rb
Strontium,SOLID,1050.0,1650.0,141.0,7.43,87.62,Sr
Yttrium,SOLID,1799.0,3203.0,363.0,11.42,88.90584,Y
Zirconium,SOLID,2128.0,4650.0,591.0,14.0,91.224,Zr
Niobium,SOLID,2750.0,5017.0,689.9,30.0,92.90637,Nb
Molybdenum,SOLID,2896.0,4912.0,598.0,37.48,95.95,Mo
Technetium,SOLID,2430.0,4538.0,585.2,33.29,98.0,Tc
Ruthenium,SOLID,2607.0,4423.0,619.0,38.59,101.07,Ru
Rhodium,SOLID,2237.0,3968.0,493.0,26.59,102.9055,Rh
Palladium,SOLID,1828.05,3236.0,358.0,16.74,106.42,Pd
Silver,SOLID,1234.93,2435.0,254.0,11.28,107.8682,Ag
Cadmium,SOLID,594.22,1040.0,99.87,6.21,112.414,Cd
Indium,SOLID,429.7485,2345.0,231.8,3.281,114.818,In
Tin,SOLID,505.08,2875.0,296.1,7.03,118.71,Sn
Antimony,SOLID,903.78,1908.0,193.43,19.79,121.76,Sb
Tellurium,SOLID,722.66,1261.0,114.1,17.49,127.6,Te
Iodine,SOLID,386.85,457.4,41.57,15.52,126.90447,I
Xenon,GAS,161.4,165.051,12.64,2.27,131.293,Xe
Uranium,SOLID,1405.3,4404.0,417.1,9.14,238.02891,U
Thorium,SOLID,2023.0,5061.0,514.0,13.81,232.0377,Th
